id,theme,metric_or_fact,value,year,source_url,confidence,notes
S39,Menace Suisse,Signalements cyber NCSC Suisse,35727,2025,https://www.ncsc.admin.ch/ncsc/fr/home/dokumentation/berichte/lageberichte/halbjahresbericht-2025-1.html,high,NCSC semi-annual 2025/1
S40,Menace Suisse,Part fraude cyber Suisse,58%,2025,https://www.ncsc.admin.ch/ncsc/fr/home/dokumentation/berichte/lageberichte/halbjahresbericht-2025-1.html,high,NCSC
S41,ENISA investissement,Budget cyber median organisations UE,1.5M EUR,2025,https://www.enisa.europa.eu/publications/nis-investments-2025,high,ENISA NIS Investments
S42,ENISA investissement,Part budget IT allouee cyber,9%,2025,https://www.enisa.europa.eu/publications/nis-investments-2025,high,ENISA
S43,ENISA investissement,Difficulte recrutement talent cyber,76%,2025,https://www.enisa.europa.eu/publications/nis-investments-2025,high,ENISA
S44,ENISA maturite,Secteurs les plus matures cyber,electricite telecoms banque,2024,https://www.enisa.europa.eu/news/enisa-nis360-2024-report,high,ENISA NIS360
S45,Response IR,M-Trends 2025 Mandiant,Vecteur initial exploit 33%,2024,https://cloud.google.com/blog/topics/threat-intelligence/m-trends-2025,medium,Mandiant
S46,Response IR,Dwell time median global,11 jours,2024,https://cloud.google.com/blog/topics/threat-intelligence/m-trends-2025,medium,Mandiant
S47,Cout incidents,Cout moyen breach IBM,4.4M USD,2025,https://www.ibm.com/reports/data-breach,medium,IBM/Ponemon
S48,Strategie cyber,Priorite investissement cyber lie geopolitique,60%,2026,https://www.pwc.com/gx/en/issues/cybersecurity/global-digital-trust-insights.html,medium,PwC Global Digital Trust Insights
S49,Strategie cyber,Organisations confiantes sur toutes vulnerabilites,6%,2026,https://www.pwc.com/gx/en/issues/cybersecurity/global-digital-trust-insights.html,medium,PwC
S50,Impact boursier,Impact attaque cyber sur cours bourse,-19.5%,2025,https://www.csb.school/,CSB School,CSB School etude
S51,PME France,Nombre cyberattaques contre PME France,330000+,2023,https://www.diginamic.fr/,Diginamic,Chiffre 2023 cite dans etude de marche
S52,NIS1,Nombre entites NIS1 France,850,2024,https://cyber.gouv.fr/,high,ANSSI - ancien regime
S53,WEF resilience,Supply chain top risque cyber,54%,2025,https://www.weforum.org/publications/global-cybersecurity-outlook-2025/digest/,medium,World Economic Forum
S54,Verizon DBIR,Ciblage PME vs grandes organisations,~4x,2025,https://www.verizon.com/business/resources/reports/dbir/,medium,Data Breach Investigations Report
S55,Stats entreprises UE,Nombre PME dans l'UE,26.1 millions,2025,https://single-market-economy.ec.europa.eu/smes/sme-strategy-and-sme-friendly-business-conditions/sme-performance-review_en,high,Commission Europeenne
S56,Stats entreprises BE,Statbel entreprises Belgique,Source officielle,2026,https://statbel.fgov.be/en/themes/enterprises,high,Statbel
S57,Marche monitoring,Future Market Report monitoring reseau,Projections CAGR,2026,https://www.futuremarketinsights.com/,medium,Future Market Insights
S58,Marche monitoring,Precedence Research monitoring,Projections marche,2026,https://www.precedenceresearch.com/,medium,Precedence Research
S59,Xerfi marche France,Donnees marche cyber France,Analyse sectorielle,2025,https://www.xerfi.com/,medium,Xerfi
S60,Numeum,Donnees numerique France,Analyse sectorielle,2025,https://numeum.fr/,medium,Numeum
S61,CERT-FR CTI,Tendances tactiques 2025,Erosion frontiere etatique-cybercrime,2025,https://www.cert.ssi.gouv.fr/cti/CERTFR-2026-CTI-002/,high,CERT-FR
S62,Belgique incidents,Incidents signales Belgique variation,+70%,2025,https://ccb.belgium.be/fr/news/plus-dattaques-plus-de-signalements-la-realite-cyber-de-la-belgique-en-2025,high,CCB article
S63,Suisse NCSC,Signalements obligatoires Suisse,145,2025,https://www.ncsc.admin.ch/ncsc/fr/home/dokumentation/berichte/lageberichte/halbjahresbericht-2025-2.html,high,NCSC semi-annual 2025/2
S64,Inflation INSEE,Taux d'inflation France,2%,2026,https://www.insee.fr/,high,INSEE
S65,Licence,GPLv2,GNU General Public License v2,1991,https://www.gnu.org/licenses/old-licenses/gpl-2.0.html,high,Licence candidate pour BigBrowser
S66,Licence,Apache 2.0,Apache License Version 2.0,2004,https://www.apache.org/licenses/LICENSE-2.0,high,Licence candidate pour BigBrowser
S67,Stack technique,Python,Version 3.11+,2024,https://www.python.org/,high,Documentation officielle
S68,Stack technique,FastAPI,Version 0.110+,2024,https://fastapi.tiangolo.com/,high,Documentation officielle
S69,Stack technique,SQLAlchemy,Version 2.x,2024,https://www.sqlalchemy.org/,high,Documentation officielle
S70,Stack technique,Pydantic,Version 2.x,2024,https://docs.pydantic.dev/,high,Documentation officielle
S71,Stack technique,Bootstrap,Version 5.x,2024,https://getbootstrap.com/,high,Documentation officielle
S72,Stack technique,PostgreSQL,Version 15+,2024,https://www.postgresql.org/,high,Documentation officielle
S73,Stack technique,Redis,Version 7+,2024,https://redis.io/,high,Documentation officielle
S74,Stack technique,Celery,Version 5.x,2024,https://docs.celeryq.dev/,high,Documentation officielle
S75,Stack technique,Docker,Compose V2,2024,https://docs.docker.com/compose/,high,Documentation officielle
S76,Stack technique,Nmap,Version 7.94+,2024,https://nmap.org/,high,Documentation officielle
S77,Stack technique,Scapy,Analyse paquets Python,2024,https://scapy.net/,high,Documentation officielle
